SRR061730	293	0.06
SRR063538	275	0.09
SRR063539	274	0.10
SRR063540	18	0.02
SRR063541	611	0.35
SRR063542	33	0.03
SRR063543	128	0.04
SRR063544	116	0.04
SRR063545	143	0.05
SRR063546	658	0.37
SRR063547	137	0.04
SRR063548	251	0.10
SRR063549	244	0.09
SRR063550	889	0.37
SRR063551	88	0.04
SRR063552	773	0.37
SRR063553	65	0.03
SRR063554	79	0.03
SRR063555	74	0.03
SRR063556	47	0.02
SRR063557	48	0.02
SRR063558	34	0.01
SRR063560	24	0.01
SRR063561	26	0.01
SRR063562	49	0.02
SRR063563	48	0.02
SRR063564	44	0.01
SRR063565	137	0.05
SRR063566	77	0.04
SRR063567	96	0.04
SRR063568	97	0.04
SRR063569	100	0.04
SRR063570	37	0.02
SRR063571	19	0.01
SRR063572	123	0.05
SRR063573	105	0.05
SRR063574	120	0.05
SRR063575	123	0.05
SRR063576	24	0.01
SRR063577	88	0.04
SRR063578	100	0.04
SRR063579	45	0.02
SRR063580	89	0.04
SRR063581	104	0.04
SRR063582	118	0.05
SRR063584	119	0.04
SRR063585	118	0.04
SRR063586	34	0.01
SRR063587	34	0.01
SRR063588	27	0.01
SRR063589	48	0.02
SRR063801	205	0.04
SRR063802	187	0.04
SRR063898	210	0.06
SRR063899	217	0.05
SRR063900	240	0.05
SRR063901	643	0.19
SRR063902	548	0.19
SRR063903	610	0.16
SRR063904	698	0.17
SRR063905	89	0.02
SRR063906	139	0.03
SRR063907	496	0.20
SRR063908	858	0.23
SRR063909	966	0.23